Title,description,authors,image,previewLink,publisher,publishedDate,infoLink,categories,ratingsCount
Past the Size of Dreaming (Red Heart of Memories),"The continuing story of wandering witch Matilda and her friend Edmund describes the pair's return to the benevolently haunted house that Edmund grew up in, but when the house tells Matilda to seek out Edmund's childhood friends, she soon realizes that they must combine forces to battle a rising darkness. By the author of A Red Heart of Memories. Reprint.",['Nina Kiriki Hoffman'],http://books.google.com/books/content?id=Qsq6jwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=Qsq6jwEACAAJ&dq=Past+the+Size+of+Dreaming+(Red+Heart+of+Memories)&hl=&cd=1&source=gbs_api,Penguin,2002,http://books.google.com/books?id=Qsq6jwEACAAJ&dq=Past+the+Size+of+Dreaming+(Red+Heart+of+Memories)&hl=&source=gbs_api,['Fiction'],6.0
Short Stories (Dover Thrift Editions),"Ranging from the 19th to the 20th centuries, this wonderfully wide-ranging and enjoyable anthology includes Tolstoy, Kipling, Chekhov, Joyce, Kafka, Pirandello, Mann, Updike, Borges, and other major writers of world literature.",['James Daley'],http://books.google.com/books/content?id=5b19DgIhRTUC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=5b19DgIhRTUC&printsec=frontcover&dq=Short+Stories+(Dover+Thrift+Editions)&hl=&cd=1&source=gbs_api,Courier Corporation,2012-03-05,https://play.google.com/store/books/details?id=5b19DgIhRTUC&source=gbs_api,['Fiction'],
Texas Mutinty,,['Sheila Allee'],http://books.google.com/books/content?id=a7XGAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=a7XGAAAACAAJ&dq=Texas+Mutinty&hl=&cd=1&source=gbs_api,Redbud Pub,2004-08-01,http://books.google.com/books?id=a7XGAAAACAAJ&dq=Texas+Mutinty&hl=&source=gbs_api,['Fiction'],
Memoirs of a woman of pleasure,"John Cleland’s Memoirs of a Woman of Pleasure has been described as the first erotic novel in English and is perhaps the greatest example of the genre. From the outset it was mired in disrepute. Cleland penned the novel to liberate himself from debtors’ prison, and the book’s manifestly lewd content led to its legal suppression within a year of publication. Though versions of the novel, nearly always abridged in some form, continued to find a way into print, the Memoirs remained an underground text until the 1960s. Only as that decade ushered in a culture less socially deferential and more sexually permissive was the moment opportune for the obscenity ban to be successfully challenged. Cleland’s novel is a triumph of literary style, resting on his invention of an entirely new, vividly metaphoric, terminology for describing sexual pleasure. This Broadview Edition provides extensive materials on Cleland’s biography and career, contemporary censorship, and pornography and prostitution in the eighteenth century.",['John Cleland'],http://books.google.com/books/content?id=NmFCDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=NmFCDwAAQBAJ&printsec=frontcover&dq=Memoirs+of+a+woman+of+pleasure&hl=&cd=1&source=gbs_api,Broadview Press,2018-03-30,http://books.google.nl/books?id=NmFCDwAAQBAJ&dq=Memoirs+of+a+woman+of+pleasure&hl=&source=gbs_api,['Fiction'],
The American Scene (Notable American Authors Series),"After living abroad for 20 years, Henry James returned to his native America and travelled down the East Coast from Boston to Florida. This a journal describing his feelings on the rediscovery of the New York of his childhood, and the growth of modern commercial America. He muses on Thoreau, Hawthorne and Emerson; in Washington, he finds a cityscape devoid of spiritual symbols; in Richmond, thoughts of the civil war haunt him. Published in 1907, this journal also served as a farewell address to the country James would never live in again. For more than seventy years, Penguin has been the leading publisher of classic literature in the English-speaking world. With more than 1,700 titles, Penguin Classics represents a global bookshelf of the best works throughout history and across genres and disciplines. Readers trust the series to provide authoritative texts enhanced by introductions and notes by distinguished scholars and contemporary authors, as well as up-to-date translations by award-winning translators.",['Henry James'],http://books.google.com/books/content?id=ZIdPEAAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=ZIdPEAAAQBAJ&dq=The+American+Scene+(Notable+American+Authors+Series)&hl=&cd=1&source=gbs_api,Penguin,1994-12-01,http://books.google.com/books?id=ZIdPEAAAQBAJ&dq=The+American+Scene+(Notable+American+Authors+Series)&hl=&source=gbs_api,['Fiction'],1.0
"The Cowboy's Baby Surprise (Silouette Desire, 1446)","Josh Ryan knew he wasn't going to heed his own warning. A single mom and a baby on the run? Two men in hot pursuit? Josh's ranger training and his Texas roots left him no choice—he was hardwired to help. Rule #2: Do anything to save her But the battle-scarred ex-soldier didn't want to be a hero. And now the very worst had happened—he had fallen in too deep. Clare had gotten under his skin, and her little son was looking at him with adoring eyes. He'd broken the unwritten code, making Clare even more of a target in the process. To save her, he would have to do the unthinkable. He'd have to make her go.…",['Linda Conrad'],http://books.google.com/books/content?id=it8A4mOigl4C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"http://books.google.nl/books?id=it8A4mOigl4C&pg=PA4&dq=The+Cowboy%27s+Baby+Surprise+(Silouette+Desire,+1446)&hl=&cd=1&source=gbs_api",Silhouette,2008-06-01,https://play.google.com/store/books/details?id=it8A4mOigl4C&source=gbs_api,['Fiction'],2.0
Once upon a Crime,"Once upon a time, the Grimms’ fairy tales taught lessons. Now, the Grimm Reaper does. New detective Chelsea Sullivan is partnered with a maverick famous for closing cases and infamous for how he does it. He has a target on his back and a chip on his shoulder. Not exactly how she hoped to kick off her first homicide case. Jim McPherson doesn’t mind showing an up-and-comer the ropes, but he does mind when she keeps putting herself in harm’s way. Especially since her innocence is exactly the trait the serial killer seems to be targeting. Unless they’re missing a crucial detail. And he can’t help but think his new partner knows what it is. The body count is rising and the Grimm Reaper is after Chelsea. If they can’t catch him before he catches her, there will be no happily ever after. Once Upon A Crime is the first book in Nolon King’s new Once Upon A Crime Trilogy. Start reading your favorite new series today!",['Nolon King'],http://books.google.com/books/content?id=X_RMEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=X_RMEAAAQBAJ&printsec=frontcover&dq=Once+upon+a+Crime&hl=&cd=1&source=gbs_api,Sterling & Stone LLC,2022-01-06,https://play.google.com/store/books/details?id=X_RMEAAAQBAJ&source=gbs_api,['Fiction'],
The Man Who Planted Trees: A Story Jean Giono,"‘A book for children from 8 to 80. I love the humanity of this story and how one man’s efforts can change the future for so many. It’s a real message of hope.’ Michael Morpurgo Discover this beloved masterpiece of nature writing that is a hymn to creation and to the power of the individual to do their bit to change the world for the better. In 1910, while hiking through the wild lavender in a wind-swept, desolate valley in Provence, a man comes across a shepherd called Elzéard Bouffier. Staying with him, he watches Elzéard sorting and then planting hundreds of acorns as he walks through the wilderness. Ten years later, after surviving the First World War, he visits the shepherd again and sees the young forest he has created spreading slowly over the valley. Elzéard’s solitary, silent work continues and the narrator returns year after year to see the miracle he is gradually creating: a verdant, green landscape that is a testament to one man’s creative instinct. A beautiful story of hope, survival and selflessness, The Man Who Planted Trees resonates as strongly with readers today as when it was first published.",['Jean Giono'],http://books.google.com/books/content?id=xHwyBgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=xHwyBgAAQBAJ&printsec=frontcover&dq=The+Man+Who+Planted+Trees:+A+Story+Jean+Giono&hl=&cd=1&source=gbs_api,Random House,2015-01-29,https://play.google.com/store/books/details?id=xHwyBgAAQBAJ&source=gbs_api,['Fiction'],8.0
The Warriors of God,"From the New York Times bestselling author of The Witcher: Reynevan—scoundrel, magician, possibly a fool—travels into the depths of war as he attempts to navigate the religious fervors of the fifteenth century. When the Hussite leaders entrust Reynevan with a dangerous secret mission, he is forced to come out of hiding in Bohmeia and depart for Silesia. At the same time, he strives to avenge the death of his brother and discover the whereabouts of his beloved. Once again pursued by multiple enemies, he must contend with danger on every front. Full of gripping action replete with twists and mysteries, seasoned with magic and Sapkowski's ever-present wit, fans of the Witcher will appreciate this rich historical epic set during the Hussite Wars. Praise for the The Tower of Fools, book one of the Hussite Trilogy: ""This is historical fantasy done right."" —Publishers Weekly (starred review) “A fantastic novel that any fan of The Witcher will instantly appreciate.” —The Gamer “A ripping yarn delivered with world-weary wit, bursting at the seams with sex, death, magic and madness.” —Joe Abercrombie “Sapkowski's energetic and satirical prose as well as the unconventional setting makes this a highly enjoyable historical fantasy.” —Booklist Also by Andrzej Sapkowski: The Hussite Trilogy The Tower of Fools Warriors of God Witcher collections The Last Wish Sword of Destiny Witcher novels Blood of Elves The Time of Contempt Baptism of Fire The Tower of Swallows Lady of the Lake Season of Storms The Malady and Other Stories: An Andrzej Sapkowski Sampler (e-only) Translated by David French",['Andrzej Sapkowski'],http://books.google.com/books/content?id=RRMVEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=RRMVEAAAQBAJ&pg=PP1&dq=The+Warriors+of+God&hl=&cd=1&source=gbs_api,Orbit,2021-10-19,https://play.google.com/store/books/details?id=RRMVEAAAQBAJ&source=gbs_api,['Fiction'],
Isaac Asimov Presents the Best Crime Stories of the 19th Century,"Gathers tales of mystery by Twain, Dickens, Hardy, Poe, Irving, and Dumas","['Isaac Asimov', 'Martin Harry Greenberg']",,http://books.google.com/books?id=t3yBAAAACAAJ&dq=Isaac+Asimov+Presents+the+Best+Crime+Stories+of+the+19th+Century&hl=&cd=1&source=gbs_api,Knightsbridge Publishing Company,1990-03-01,http://books.google.com/books?id=t3yBAAAACAAJ&dq=Isaac+Asimov+Presents+the+Best+Crime+Stories+of+the+19th+Century&hl=&source=gbs_api,['Fiction'],
Saving Joe,"Saving Joe by Laura Marie Altom released on Oct 11, 2005 is available now for purchase.",['Laura Marie Altom'],http://books.google.com/books/content?id=-O-1Heeqj-wC&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=-O-1Heeqj-wC&q=Saving+Joe&dq=Saving+Joe&hl=&cd=1&source=gbs_api,Harlequin Books,2005,http://books.google.com/books?id=-O-1Heeqj-wC&dq=Saving+Joe&hl=&source=gbs_api,['Fiction'],
Skeleton Man (Joe Leaphorn/Jim Chee Novels),"Hailed as ""a wonderful storyteller"" by the New York Times, and a ""national and literary cultural sensation"" by the Los Angeles Times, bestselling author Tony Hillerman is back with another blockbuster novel featuring the legendary Lieutenant Joe Leaphorn and Sergeant Jim Chee. Former Navajo Tribal Police Lieutenant Joe Leaphorn comes out of retirement to help investigate what seems to be a trading post robbery. A simple-minded kid nailed for the crime is the cousin of an old colleague of Sergeant Jim Chee. He needs help and Chee, and his fiancée Bernie Manuelito, decide to provide it. Proving the kid's innocence requires finding the remains of one of 172 people whose bodies were scattered among the cliffs of the Grand Canyon in an epic airline disaster 50 years in the past. That passenger had handcuffed to his wrist an attaché case filled with a fortune in -- one of which seems to have turned up in the robbery. But with Hillerman, it can't be that simple. The daughter of the long-dead diamond dealer is also seeking his body. So is a most unpleasant fellow willing to kill to make sure she doesn't succeed. These two tense tales collide deep in the canyon at the place where an old man died trying to build a cult reviving reverence for the Hopi guardian of the Underworld. It's a race to the finish in a thunderous monsoon storm to see who will survive, who will be brought to justice, and who will finally unearth the Skeleton Man.",['Tony Hillerman'],http://books.google.com/books/content?id=8jQMvgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.nl/books?id=8jQMvgAACAAJ&dq=Skeleton+Man+(Joe+Leaphorn/Jim+Chee+Novels)&hl=&cd=1&source=gbs_api,Harper,2004-11-23,http://books.google.nl/books?id=8jQMvgAACAAJ&dq=Skeleton+Man+(Joe+Leaphorn/Jim+Chee+Novels)&hl=&source=gbs_api,['Fiction'],12.0
