Title,description,authors,image,previewLink,publisher,publishedDate,infoLink,categories,ratingsCount,image_path,main_category,label
Forty-Ouncer,A collection of 19 short stories and two novellas by slacker raconteur Kurt Zapata.,['Kurt Zapata'],http://books.google.com/books/content?id=1FEBAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=1FEBAAAACAAJ&dq=Forty-Ouncer&hl=&cd=1&source=gbs_api,Manic d Press,1996,http://books.google.com/books?id=1FEBAAAACAAJ&dq=Forty-Ouncer&hl=&source=gbs_api,['Fiction'],,book_covers/215_Forty-Ouncer.jpg,Fiction,0
The Captive Heart,"The Captive Heart Releases October 1, 2016! Free Extended Preview. Proper English governess Eleanor Morgan flees to the colonies to escape the wrath of a brute of an employer. When the Charles Town family she’s to work for never arrives to collect her from the dock, she is forced to settle for the only reputable choice remaining to her—marriage to a man she’s never met. Trapper and tracker Samuel Heath is a hardened survivor used to getting his own way by brain or by brawn, and he’s determined to find a mother for his young daughter. But finding a wife proves to be impossible. No upstanding woman wants to marry a murderer.",['Michelle Griep'],http://books.google.com/books/content?id=iWW2DAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=iWW2DAAAQBAJ&printsec=frontcover&dq=The+Captive+Heart&hl=&cd=1&source=gbs_api,Barbour Publishing,2016-07-21,https://play.google.com/store/books/details?id=iWW2DAAAQBAJ&source=gbs_api,['Fiction'],10.0,book_covers/295_The_Captive_Heart.jpg,Fiction,0
"Nationalists, Soldiers and Separatists: The Ambonese Islands from Colonialism to Revolt, 1880-1950","On 25 April 1950 the Republic of the South Moluccas was proclaimed in Ambon Town. Not until December, after a breakdown in negotiations and a protracted battle, did the Indonesian army take control of Ambon Island. In remote parts of inhospitable Ceram, RMS remnants held out until 1962. This book examines the revolt of the Republic of the South Moluccas in the context of the social and economic changes experienced in Ambonese society during the last century of colonial rule.",['Richard Chauvel'],http://books.google.com/books/content?id=UbZiAAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"http://books.google.nl/books?id=UbZiAAAAQBAJ&printsec=frontcover&dq=Nationalists,+Soldiers+and+Separatists:+The+Ambonese+Islands+from+Colonialism+to+Revolt,+1880-1950&hl=&cd=1&source=gbs_api",BRILL,2008-01-01,"http://books.google.nl/books?id=UbZiAAAAQBAJ&dq=Nationalists,+Soldiers+and+Separatists:+The+Ambonese+Islands+from+Colonialism+to+Revolt,+1880-1950&hl=&source=gbs_api",['History'],,book_covers/760_Nationalists__Soldiers_and_Separatists__The_Ambonese_Islands_from_Colonialism_to_Revolt__1880-1950.jpg,History,1
The Dead Sea Scrolls and the Origins of the Bible,"Ulrich (Hebrew scriptures, U. of Notre Dame-Indiana), a pre-eminent Dead Sea scrolls scholar, has been editing the Qumran biblical scrolls for the past two decades. This volume contains 14 essays that he wrote over the years for various conferences and collections. They deal first with the Hebrew t","['Eugene C. Ulrich', 'Professor of Hebrew Eugene Ulrich']",http://books.google.com/books/content?id=6f9-Fnmy3sEC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=6f9-Fnmy3sEC&printsec=frontcover&dq=The+Dead+Sea+Scrolls+and+the+Origins+of+the+Bible&hl=&cd=1&source=gbs_api,Wm. B. Eerdmans Publishing,1999-06-15,http://books.google.com/books?id=6f9-Fnmy3sEC&dq=The+Dead+Sea+Scrolls+and+the+Origins+of+the+Bible&hl=&source=gbs_api,['Religion'],1.0,book_covers/492_The_Dead_Sea_Scrolls_and_the_Origins_of_the_Bible.jpg,Religion,2
The secret oral teachings in Tibetan Buddhist sects,"2017 Reprint of 1960 Edition. Full facsimile of the original edition, not reproduced with Optical Recognition Software. .."".this is the most direct, no-nonsense, and down-to-earth explanation of Mahayana Buddhism that has been written. Specifically, it is a wonderfully lucid account of the Middle Way method of enlightenment worked out by the great Indian sage Nagarjuna."" --Alan Watts, The Book ""The Secret Oral Teachings in Tibetan Buddhist Sects by Alexandra David-Neel and Lama Yongden, is always on my night stand. I return to it again and again in different stages of my life."" --Marina Ambramovic ""David-Neel herself is often relegated to the ranks of ""women adventurers""; this despite the production of some forty-odd books, several of which have wielded an extraordinary influence."" --Harry Oldmeadow, La Trobe University, Bendigo, Australia","['Alexandra David-Neel', 'Lama Yongden']",http://books.google.com/books/content?id=Kz5pAQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=Kz5pAQAACAAJ&dq=The+secret+oral+teachings+in+Tibetan+Buddhist+sects&hl=&cd=1&source=gbs_api,,2017-02-14,http://books.google.com/books?id=Kz5pAQAACAAJ&dq=The+secret+oral+teachings+in+Tibetan+Buddhist+sects&hl=&source=gbs_api,['Religion'],,book_covers/404_The_secret_oral_teachings_in_Tibetan_Buddhist_sects.jpg,Religion,2
The Fourth Angel,"From the New York Times–bestselling author of City of Night: a “powerful work that may very well be Rechy’s best” (Kirkus Reviews). Compelling and ferociously relevant, The Fourth Angel is the story of four teenagers playing deadly games with drugs, sex, and one another. Behind a facade of tough cynicism, on a raging search for kicks, they explore the hot, dusty city, bent on trouble. There are three “angels”—Shell, Cob, and Manny—and their recruit Jerry, who becomes the fourth. Hovering in that uncertain limbo between childhood and adulthood, the four angels maintain a precarious balance among themselves and with the outside world. Each one is today’s street kid: still tinged with innocence and capable of beauty, but at the same time, full of rage and violence, attempting to conceal an ugly past. Praise for John Rechy “Rechy shows great comic and tragic talent. He is truly a gifted novelist.” —Christopher Isherwood, author and playwright “His tone rings absolutely true, is absolutely his own, and he has the kind of discipline which allows him a rare and beautiful recklessness. He tells the truth, and tells it with such passion that we are forced to share in the life he conveys. This is a most humbling and liberating achievement.” —James Baldwin, novelist, playwright, and activist “Fresh, beautiful, totally courageous and totally cool, passionate . . . His uncompromising honesty as a gay writer has provoked as much fear as admiration . . . John Rechy doesn’t fit into categories. He transcends them. His individual vision is unique, perfect, loving and strong.” —Carolyn See, author of Dreaming: Hard Luck and Good Times in America",['Peter G. Tsouras'],http://books.google.com/books/content?id=tq7SDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=tq7SDwAAQBAJ&printsec=frontcover&dq=The+Fourth+Angel&hl=&cd=1&source=gbs_api,"Grove/Atlantic, Inc.",2007-12-01,https://play.google.com/store/books/details?id=tq7SDwAAQBAJ&source=gbs_api,['Fiction'],,book_covers/177_The_Fourth_Angel.jpg,Fiction,0
"The Thirteen-Gun Salute: Aubrey/Maturin Series, Book 13","""In length the series is unique; in quality—and there is not a weak link in the chain—it cannot but be ranked with the best of twentieth century historical novels.""—T. J. Binyon, Independent Captain Jack Aubrey sets sail for the South China Sea with a new lease on life. Following his dismissal from the Royal Navy (a false accusation), he has earned reinstatement through his daring exploits as a privateer, brilliantly chronicled in The Letter of Marque. Now he is to shepherd Stephen Maturin—his friend, ship's surgeon, and sometimes intelligence agent—on a diplomatic mission to prevent links between Bonaparte and the Malay princes which would put English merchant shipping at risk. The journey of the Diane encompasses a great and satisfying diversity of adventures. Maturin climbs the Thousand Steps of the sacred crater of the orangutans; a killer typhoon catches Aubrey and his crew trying to work the Diane off a reef; and in the barbaric court of Pulo Prabang a classic duel of intelligence agents unfolds: the French envoys, well entrenched in the Sultan's good graces, against the savage cunning of Stephen Maturin.","[""Patrick O'Brian""]",http://books.google.com/books/content?id=vrMJFxQaNxYC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"http://books.google.com/books?id=vrMJFxQaNxYC&printsec=frontcover&dq=The+Thirteen-Gun+Salute:+Aubrey/Maturin+Series,+Book+13&hl=&cd=1&source=gbs_api",W. W. Norton & Company,2011-12-05,https://play.google.com/store/books/details?id=vrMJFxQaNxYC&source=gbs_api,['Fiction'],11.0,book_covers/104_The_Thirteen-Gun_Salute__Aubrey_Maturin_Series__Book_13.jpg,Fiction,0
Bering Sea Escort: Life Aboard a Coast Guard Cutter in World War II,"Robert Johnson was just eighteen when he joined the Coast Guard in 1941. Assigned to the cutter Haida before the Japanese attacked Pearl Harbor, he spent his first months on peacetime duty in the Bering Sea. With the advent of the war, however, the cutter embarked on convoy duty in the Gulf of Alaska and along the Aleutians. Far more than the typical war diary, this memoir offers readers a real sense of the enlisted man's life at sea in World War II. --from inside jacket flap.",['Robert Erwin Johnson'],http://books.google.com/books/content?id=7WXxAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=7WXxAAAAMAAJ&q=Bering+Sea+Escort:+Life+Aboard+a+Coast+Guard+Cutter+in+World+War+II&dq=Bering+Sea+Escort:+Life+Aboard+a+Coast+Guard+Cutter+in+World+War+II&hl=&cd=1&source=gbs_api,Naval Inst Press,1992,http://books.google.com/books?id=7WXxAAAAMAAJ&dq=Bering+Sea+Escort:+Life+Aboard+a+Coast+Guard+Cutter+in+World+War+II&hl=&source=gbs_api,['History'],,book_covers/897_Bering_Sea_Escort__Life_Aboard_a_Coast_Guard_Cutter_in_World_War_II.jpg,History,1
Church Affairs,,['Watchman Nee'],http://books.google.com/books/content?id=SwTCUPX5ghEC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=SwTCUPX5ghEC&printsec=frontcover&dq=Church+Affairs&hl=&cd=1&source=gbs_api,Living Stream Ministry,1996-08-01,https://play.google.com/store/books/details?id=SwTCUPX5ghEC&source=gbs_api,['Religion'],,book_covers/422_Church_Affairs.jpg,Religion,2
Alae Supra Canalem: Wings Over the Canal,"This bibliography lists published and printed unit histories for the United States Air Force and Its Antecedents, including Air Divisions, Wings, Groups, Squadrons, Aviation Engineers, and the Women's Army Corps.","['James T. Controvich', 'Martin Gordon']",http://books.google.com/books/content?id=R--IDX2VUcMC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=R--IDX2VUcMC&pg=PA19&dq=Alae+Supra+Canalem:+Wings+Over+the+Canal&hl=&cd=1&source=gbs_api,Scarecrow Press,2004,http://books.google.nl/books?id=R--IDX2VUcMC&dq=Alae+Supra+Canalem:+Wings+Over+the+Canal&hl=&source=gbs_api,['History'],,book_covers/934_Alae_Supra_Canalem__Wings_Over_the_Canal.jpg,History,1
An Exposition of the Sermon on the Mount:,"""And seeing the multitudes, He went up into a mountain, and when He was set, His disciples came unto Him; and He opened His mouth, and taught them"" (5:1, 2). Yet brief as these verses be, there are several things in them which call for careful consideration. First, we must notice the place from which this Sermon was preached. ""As in other things, so in this, our Lord Jesus was but ill-accommodated: He had no convenient place to preach in, any more than to lay His head on. While the scribes and Pharisees had Moses' chair to sit in, with all possible ease, honour, and state, and there corrupted the Law; our Lord Jesus, the great Teacher of truth, is driven out to the desert, and finds no better place than a 'mountain' can afford.",['Arthur W. Pink'],http://books.google.com/books/content?id=X_DjCgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=X_DjCgAAQBAJ&printsec=frontcover&dq=An+Exposition+of+the+Sermon+on+the+Mount:&hl=&cd=1&source=gbs_api,"Lulu Press, Inc",2013-03-13,https://play.google.com/store/books/details?id=X_DjCgAAQBAJ&source=gbs_api,['Religion'],,book_covers/645_An_Exposition_of_the_Sermon_on_the_Mount_.jpg,Religion,2
Animal Underworld: Inside America's Black Market for Rare and Exotic Species,"A vast and previously undisclosed underground economy exists in the United States. The products bought and sold: animals. In Animal Underworld, veteran investigative journalist Alan Green exposes the sleazy, sometimes illegal web of those who trade in rare and exotic creatures. Green and The Center for Public Integrity reveal which American zoos and amusement parks dump their ""surplus"" animals on the middlemen adept at secretly redirecting them into the private pet trade. We're taken to exotic-animal auctions, where the anonymous high bidders are often notorious dealers, hunting-ranch proprietors, and profit-minded charlatans masquerading as conservationists. We visit some of the nation's most prestigious universities and research laboratories, whose diseased monkeys are ""laundered"" through this same network of breeders and dealers until they finally reach the homes of unsuspecting pet owners. And we meet the men and women who make their living by skirting through loopholes in the law, or by ignoring the law altogether. For anyone who cares about animals; for pet owners, zoo-goers, wildlife conservationists, and animal welfare advocates, Animal Underworld is gripping, shocking reading.",['Alan Green'],http://books.google.com/books/content?id=B6adylJwNWYC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=B6adylJwNWYC&printsec=frontcover&dq=Animal+Underworld:+Inside+America%27s+Black+Market+for+Rare+and+Exotic+Species&hl=&cd=1&source=gbs_api,PublicAffairs,2006-03-07,https://play.google.com/store/books/details?id=B6adylJwNWYC&source=gbs_api,['History'],,book_covers/996_Animal_Underworld__Inside_America_s_Black_Market_for_Rare_and_Exotic_Species.jpg,History,1
Not Quite American?: The Shaping of Arab and Muslim Identity in the United States (Charles Edmondson Historical Lectures),"In this essay Yvonne Haddad explores the history of immigration and integration of Arab Muslims in the United States and their struggle to legitimate their presence in the face of continuing exclusion based on race, nationalist identity, and religion.",['Yvonne Yazbeck Haddad'],http://books.google.com/books/content?id=m1z4GcWN9CcC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=m1z4GcWN9CcC&printsec=frontcover&dq=Not+Quite+American%3F:+The+Shaping+of+Arab+and+Muslim+Identity+in+the+United+States+(Charles+Edmondson+Historical+Lectures)&hl=&cd=1&source=gbs_api,Baylor University Press,2004-01-01,http://books.google.com/books?id=m1z4GcWN9CcC&dq=Not+Quite+American%3F:+The+Shaping+of+Arab+and+Muslim+Identity+in+the+United+States+(Charles+Edmondson+Historical+Lectures)&hl=&source=gbs_api,['Religion'],,book_covers/346_Not_Quite_American___The_Shaping_of_Arab_and_Muslim_Identity_in_the_United_States__Charles_Edmondson_Historical_Lectures_.jpg,Religion,2
"The Construction of Nationhood: Ethnicity, Religion and Nationalism (1996 Wiles Lectures Given at the Queen's University of Belfa)","An original and challenging 1997 book on the meaning of nationalism, ethnicity and nationhood.","['Adrian Hastings', 'Professor of Theology (Emeritus) Adrian Hastings']",http://books.google.com/books/content?id=uMJDaelOpsgC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"http://books.google.com/books?id=uMJDaelOpsgC&pg=PR11&dq=The+Construction+of+Nationhood:+Ethnicity,+Religion+and+Nationalism+(1996+Wiles+Lectures+Given+at+the+Queen%27s+University+of+Belfa)&hl=&cd=1&source=gbs_api",Cambridge University Press,1997-11-06,"http://books.google.com/books?id=uMJDaelOpsgC&dq=The+Construction+of+Nationhood:+Ethnicity,+Religion+and+Nationalism+(1996+Wiles+Lectures+Given+at+the+Queen%27s+University+of+Belfa)&hl=&source=gbs_api",['History'],,book_covers/974_The_Construction_of_Nationhood__Ethnicity__Religion_and_Nationalism__1996_Wiles_Lectures_Given_at_the_Queen_s_University_of_Belfa_.jpg,History,1
Charlie Rangers,"They were the biggest Ranger company in Vietnam, and the best. For eighteen months, John L. Rotundo and Don Ericson braved the test of war at its most bloody and most raw, specializing in ambushing the enemy and fighting jungle guerillas using their own tactics. From the undiluted high of a ""contact"" with the enemy to the anguished mourning of a fallen comrade, they experienced nearly every emotion known to man--most of all, the power and the pride of being the finest on America's front lines.","['Don Ericson', 'John L. Rotundo']",http://books.google.com/books/content?id=GC0d5fJg_g0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=GC0d5fJg_g0C&printsec=frontcover&dq=Charlie+Rangers&hl=&cd=1&source=gbs_api,Presidio Press,2011-09-21,https://play.google.com/store/books/details?id=GC0d5fJg_g0C&source=gbs_api,['History'],1.0,book_covers/738_Charlie_Rangers.jpg,History,1
Time of The Vampires,"In this all new anthology, 18 of todays top authors take a bite out of vampire lore with their own nightmarish visions. From a vampire blessed by Christ, to the truth about Oscar Wilde and the Bow Street Runners, such acclaimed authors as Tanya Huff, P.N. Elrod and Lois Tilton are among the writers brave enough to take on these thirsty lords of the night.","['P. N. Elrod', 'Martin Harry Greenberg']",http://books.google.com/books/content?id=YU8LOxkhZi0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.nl/books?id=YU8LOxkhZi0C&q=Time+of+The+Vampires&dq=Time+of+The+Vampires&hl=&cd=1&source=gbs_api,"D A W Books, Incorporated",1996,http://books.google.nl/books?id=YU8LOxkhZi0C&dq=Time+of+The+Vampires&hl=&source=gbs_api,['Fiction'],,book_covers/281_Time_of_The_Vampires.jpg,Fiction,0
